img,body_skinny,body_normal,body_chubby,tits_small,tits_normal,tits_large,hair_black,hair_red,hair_blonde,object_glasses,object_heels,object_naked,object_clothed,object_tattoo
2014-06-02_11-10-20_UTC.jpg,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2014-06-02_11-13-10_UTC.jpg,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-06-02_11-16-59_UTC.jpg,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2014-06-02_11-19-38_UTC.jpg,1,0,0,1,0,0,1,0,0,0,1,0,1,0
2014-06-02_11-21-50_UTC.jpg,1,0,0,0,1,0,1,0,0,0,0,0,1,0
2014-06-02_11-30-26_UTC.jpg,1,0,0,0,1,0,1,0,0,0,0,0,1,0
2014-06-02_11-36-33_UTC.jpg,1,0,0,0,1,0,0,0,1,0,0,0,1,1
2014-06-02_14-43-55_UTC.jpg,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2014-06-03_02-10-59_UTC.jpg,1,0,0,1,0,0,0,1,0,0,0,0,1,0
2014-06-03_08-46-18_UTC.jpg,1,0,0,0,1,0,1,0,0,1,0,0,1,0
2014-06-03_19-13-20_UTC.jpg,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2014-06-04_01-59-16_UTC.jpg,1,0,0,1,0,0,1,0,0,1,0,0,1,0
2014-06-04_12-03-20_UTC.jpg,1,0,0,1,0,0,0,0,1,1,0,0,1,0
2014-06-04_15-06-01_UTC.jpg,1,0,0,1,0,0,1,0,0,1,0,0,1,0
2014-06-05_10-27-29_UTC.jpg,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2014-06-06_13-19-04_UTC.jpg,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-06-07_17-29-26_UTC.jpg,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2014-06-08_13-26-58_UTC.jpg,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-06-09_12-21-18_UTC.jpg,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2014-06-10_08-45-48_UTC.jpg,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2014-06-11_10-12-25_UTC.jpg,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2014-06-13_15-28-00_UTC.jpg,1,0,0,0,1,0,1,0,0,0,0,0,1,0
2014-06-14_15-24-57_UTC.jpg,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2014-06-15_22-17-46_UTC.jpg,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2014-06-16_12-32-53_UTC.jpg,1,0,0,0,1,0,1,0,0,1,0,0,1,1
2014-06-17_16-29-38_UTC.jpg,1,0,0,1,0,0,1,0,0,1,0,0,1,0
2014-06-18_21-43-28_UTC.jpg,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2014-06-20_11-50-16_UTC.jpg,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2014-06-21_15-45-18_UTC.jpg,1,0,0,1,0,0,0,0,1,1,0,0,1,0
